org,verdict,blocks,block_srcs,own_src,third_src,months,nar_kb,nums,blk_with_before,blk_with_fail,blk_with_actor,blk_dual,auto,aug,fail,variants,top_docs
Wayve,CORE,13,8,31,0,6,211.6,83,9,1,2,0,215,4,10,Wayve,transcripts/channels/Wayve/CVPR24_E2EAI_Gianluca_Corrado_Learning_Models_of_the_World__q9ZO1RO5-ys.md|transcripts/channels/Wayve/CVPR24_E2EAI_Oleg_Sinavski_Language_Meet_Driving__oeGis1cz_zM.md|transcripts/channels/Wayve/Embodied_AI_for_Autonomous_Driving__ioL4Vhf5UYw.md|transcripts/channels/Wayve/Ride_The_Wayve_with_CEO_Alex_and_VP_of_AI_Vijay__TQfNIb79Ju8.md|transcripts/channels/Wayve/Riding_the_Wayve_with_Holly_Branson__trH1B4Nq_gQ.md
LG AI Research,CORE,12,7,76,0,7,493.9,457,10,5,0,0,62,12,32,LG AI Research,"transcripts/channels/LG_AI_Research/LG_AI_Talk_Concert_2023__tbeGE19qIk4.md|transcripts/channels/LG_AI_Research/LG_AI_Research_임우형_랩장_-_AIIS_Spring_Retreat__d5kjZOQReUY.md|transcripts/channels/LG_AI_Research/LG_AI_Talk_Concert_2022_Expert_AI_Applications_for_Productiv__XbqJfvyg6hk.md|transcripts/channels/LG_AI_Research/Expert_AI_Alliance_Workshop_–_Full_Version__3aSJ0XdENkU.md|transcripts/channels/LG_AI_Research/LG_AI,_Human,_and_Business_-_Hwayoung_Lee_(이화영)__Z2MUjGuTRyE.md"
GitHub,CORE,11,8,100,0,4,455.8,283,7,3,2,2,70,868,46,GitHub,transcripts/channels/GitHub/Exploring_the_agent-first_GitHub_Copilot_desktop_app_GitHub___UzYm0kyVY9s.md|transcripts/channels/GitHub/Run_code_generation_in_the_background_with_GitHub_Copilot_co__S1ch_6fjp5M.md|transcripts/channels/GitHub/The_history_of_C#_and_TypeScript_with_Anders_Hejlsberg_GitHu__uMqx8NNT4xY.md|transcripts/channels/GitHub/Build_with_the_Copilot_CLI_-_Mona_Mayhem__c2QeGuWPnSw.md|transcripts/channels/GitHub/How_Copilot_auto_mode_selects_the_best_AI_model_GitHub_Check__a-c1M8QwK84.md
Unilever,CORE,11,6,38,0,4,956.6,5194,2,1,0,0,18,0,36,Unilever,"transcripts/channels/Unilever/Investor_Event_2024_CEO_Presentation_Unilever__r_BOLVAd0Kw.md|transcripts/channels/Unilever/Investor_Event_2024_Unilever__yuMA_iYdq4w.md|transcripts/channels/Unilever/Unilever_Foods_to_combine_with_McCormick_Webcast_&_Q&A__MokfRDL0kqA.md|transcripts/channels/Unilever/Fireside_Chat_with_Fernando_Fernandez,_Unilever_CEO_and_Celi__djVmMTAMEho.md|transcripts/channels/Unilever/Unilever_Full_Year_2023_Results_Webcast_&_Q&A__YUdGwlJiDUk.md"
Accenture,CORE,11,3,14,0,3,181.0,155,7,2,5,0,17,1,6,Accenture,transcripts/channels/Accenture/Top_Banking_Trends_2026_-_Unconstrained_Banking_Accenture__MWvdwSD3ZRc.md|transcripts/channels/Accenture/CES_2026_-_Scaling_agentic_AI_to_achieve_breakthrough_transf__Ba2KXHdbjR0.md|transcripts/channels/Accenture/The_Skills_Mismatch_Economy_How_AI_is_reshaping_skill_demand__HmuEoDwZnqg.md
Meta Developers,CORE,10,7,93,0,4,813.1,639,3,1,1,0,50,10,41,Meta Developers,"transcripts/channels/Meta_Developers/From_Mobile_to_Meta_Horizon_OS__gEIksIz0vVE.md|transcripts/channels/Meta_Developers/VR_Developer_Level_Up_Ep._1_Success_Stories,_Agentic_Tools_&__ebIV8ZzjMf0.md|transcripts/channels/Meta_Developers/[ASL]_Your_First_Steps_into_Immersive_Web_Development__cG-Wjfaqhic.md|transcripts/channels/Meta_Developers/Harness_the_Potential_of_AI_to_Supercharge_VR_Innovation__0v4_2pLH4jg.md|transcripts/channels/Meta_Developers/Performance_Unleashed_Maximizing_Meta_Quest_in_2025__iZgHcsPM9lk.md"
Schneider Electric,CORE,9,4,101,0,2,457.5,460,7,4,1,0,103,4,50,Schneider Electric,"transcripts/channels/Schneider_Electric/Chris_Sharp_&_Steven_Carlini_AI_Factories_Power,_Cooling_&_T__Vfj0etH-rD8.md|transcripts/channels/Schneider_Electric/Exploring_DCIM_and_EcoStruxure_IT_Solutions__jBVwPeRBC-I.md|transcripts/channels/Schneider_Electric/End_of_Islands_-_Unified_Asset_Lifecycle_is_the_Digital_Fabr__xjFSF4jCvpk.md|transcripts/channels/Schneider_Electric/Powering_the_AI_factory_-_The_grid-to-chip_journey_Schneider__lWYUvDXnudc.md"
Alibaba Cloud,CORE,9,4,31,0,4,151.5,224,8,0,0,0,40,6,8,Alibaba Cloud,"transcripts/channels/Alibaba_Cloud/Alibaba_Cloud_Claw_Talks_EP2_Enterprise_Productivity_with_Qo__cK3qfRTjgWE.md|transcripts/channels/Alibaba_Cloud/Alibaba_Cloud_Claw_Talks_EP5_Personal_AI_Agents_for_Compound__xk6ACweQTVM.md|transcripts/channels/Alibaba_Cloud/Dr._Dorian_Selz,_CEO_&_Co-founder_of_Squirro_CXO_Nexus_Tour__ujNyMCmwjkM.md|transcripts/channels/Alibaba_Cloud/I_Cut_My_LLM_API_Costs_by_85%_With_One_Parameter_Change__jRx2pLL0-3o.md"
Huawei,CORE,8,6,97,0,4,206.6,256,5,1,0,1,46,3,9,Huawei,transcripts/channels/Huawei/Huawei_Cloud_Powers_Ninja_Van's_Cloud-Native_Logistics__yWCRAVdDJO4.md|transcripts/channels/Huawei/Our_North_Star_IOH_&_AI_Transforming_Indonesia's_Intelligent__QZZBEYvYq6g.md|transcripts/channels/Huawei/AI_is_the_Foundation_for_Transforming_Industries__5xLjNzJKuHA.md|transcripts/channels/Huawei/Exploring_Huawei's_Intelligent_Retail_Innovations_at_MWC_202__RB4fTsetIAs.md|transcripts/channels/Huawei/Midea's_Smart_Factory_in_Thailand_A_Paradigm_Shift_in_Manufa__0aLSFisgmI0.md
Scale AI,CORE,8,5,77,0,3,363.8,366,2,0,2,1,9,6,19,Scale AI,transcripts/channels/Scale_AI/AI_for_Manufacturing_Full_panel_hosted_by_Scale_AI_#ADMexpo___KN743U1UrNU.md|transcripts/channels/Scale_AI/AI_for_Healthcare_Live_Panel_with_Service_Providers__XPx-0VqreKY.md|transcripts/channels/Scale_AI/AI_for_Healthcare_About_the_Call_for_Projects_-_Détails_de_l__cNWwIXINp58.md|transcripts/channels/Scale_AI/Scale_AI_AI_Playbook_for_Business_Leaders_ALL_IN_2024__TPN6hbY40TU.md|transcripts/channels/Scale_AI/Scale_AI_at_ADM_2022_Scale_AI_à_ADM_2022__ZqduERg3uJs.md
